DATE,Open,High,Low,Adj Close,Volume
2015-01-02,103.44,103.49,99.69,101.53,53204600
2015-01-05,100.56,100.9,97.89,98.67,64285500
2015-01-06,98.94,99.76,97.16,98.68,65797100
2015-01-07,99.55,100.48,99.09,100.06,40105900
2015-01-08,101.44,104.15,100.94,103.91,59364500
2015-01-09,104.63,105.17,102.35,104.02,53699500
2015-01-12,104.56,104.59,101.04,101.45,49650800
2015-01-13,103.48,104.75,101.14,102.35,67091900
2015-01-14,101.26,102.61,100.76,101.96,48337000
2015-01-15,102.15,102.21,99.05,99.2,60014000
2015-01-16,99.39,99.9,97.69,98.43,78513300
2015-01-20,100.14,101.19,98.9,100.96,49899900
2015-01-21,101.18,103.13,100.54,101.73,48575900
2015-01-22,102.39,104.44,101.89,104.38,53796400
2015-01-23,104.29,105.63,103.57,104.92,46464800
2015-01-26,105.62,106.2,104.75,105.03,55615000
2015-01-27,104.4,104.45,101.25,101.35,95568700
2015-01-28,109.24,109.69,107.08,107.08,146477100
2015-01-29,108.02,110.68,107.31,110.42,84436400
2015-01-30,109.95,111.44,108.51,108.8,83745500
2015-02-02,109.63,110.67,107.8,110.16,62739100
2015-02-03,110.04,110.59,109.22,110.18,51915700
2015-02-04,110.04,111.91,109.87,111.03,70149700
2015-02-05,111.9,112.09,111.18,111.82,42246200
2015-02-06,111.9,112.11,110.43,110.88,43706600
2015-02-09,110.52,111.73,110.41,111.62,38889800
2015-02-10,112.04,113.88,112.03,113.76,62008500
2015-02-11,114.46,116.46,114.21,116.43,73561800
2015-02-12,117.53,118.85,117.07,117.9,74474500
2015-02-13,118.66,118.66,117.14,118.48,54272200
2015-02-17,118.86,120.16,118.33,119.18,63152400
2015-02-18,118.99,120.06,118.82,120.01,44891700
2015-02-19,119.78,120.3,119.64,119.75,37362400
2015-02-20,119.91,120.73,119.38,120.73,48948400
2015-02-23,121.22,124,120.88,124,70974100
2015-02-24,123.94,124.56,122.29,123.22,69228100
2015-02-25,122.65,122.69,119.47,120.07,74711700
2015-02-26,120.07,122.01,118.04,121.59,91287500
2015-02-27,121.2,121.73,119.56,119.76,62014800
2015-03-02,120.5,121.46,119.61,120.35,48096700
2015-03-03,120.23,120.75,119.42,120.6,37816300
2015-03-04,120.36,120.79,119.63,119.84,31666300
2015-03-05,119.88,120.03,117.25,117.85,56517100
2015-03-06,119.71,120.61,117.71,118.03,72842100
2015-03-09,119.3,120.8,116.59,118.53,88528500
2015-03-10,117.85,118.61,115.42,116.08,68856600
2015-03-11,116.31,116.32,113.84,113.96,68939000
2015-03-12,114.03,116.44,113.4,116.03,48362700
2015-03-13,115.98,116.91,114.28,115.22,51827300
2015-03-16,115.49,116.49,114.55,116.49,35874300
2015-03-17,117.38,118.7,117.14,118.44,51023100
2015-03-18,118.4,120.42,117.82,119.77,65270900
2015-03-19,120.03,120.5,118.78,118.87,45809500
2015-03-20,119.57,119.71,116.69,117.38,68695100
2015-03-23,118.51,119.2,117.96,118.6,37709700
2015-03-24,118.62,119.37,117.99,118.11,32842300
2015-03-25,117.97,118.23,115.03,115.03,51655200
2015-03-26,114.45,116.43,114.3,115.83,47572900
2015-03-27,116.14,116.26,114.59,114.91,39546200
2015-03-30,115.65,117.84,115.61,117.82,47099700
2015-03-31,117.55,117.93,115.94,116.01,42090600
2015-04-01,116.37,116.65,114.77,115.84,40621400
2015-04-02,116.57,117.06,115.78,116.84,32220100
2015-04-06,116.04,118.88,115.91,118.73,37194000
2015-04-07,119,119.45,117.45,117.48,35012300
2015-04-08,117.33,117.84,116.51,117.1,37329200
2015-04-09,117.33,118.01,116.22,117.99,32484000
2015-04-10,117.42,118.6,116.78,118.5,40188000
2015-04-13,119.68,119.87,118.04,118.26,36365100
2015-04-14,118.4,118.67,117.39,117.75,25524600
2015-04-15,117.85,118.52,117.48,118.2,28970400
2015-04-16,117.73,118.5,117.57,117.63,28369000
2015-04-17,117.05,117.6,116.03,116.31,51957000
2015-04-20,117.07,119.45,116.7,118.96,47054300
2015-04-21,119.43,119.52,118.1,118.32,32435100
2015-04-22,118.39,120.15,117.77,119.91,37654500
2015-04-23,119.61,121.59,119.47,120.89,45770900
2015-04-24,121.66,121.79,120.48,121.46,44525900
2015-04-27,123.35,124.12,122.27,123.67,96954200
2015-04-28,125.36,125.43,120.8,121.72,118924000
2015-04-29,121.35,122.68,119.61,119.93,63386100
2015-04-30,119.93,119.93,116.15,116.68,83195400
2015-05-01,117.56,121.32,116.82,120.22,58512600
2015-05-04,120.73,121.73,119.58,119.99,50988300
2015-05-05,119.47,119.75,117.27,117.28,49271400
2015-05-06,117.99,118.17,115.01,116.55,72141000
2015-05-07,116.81,118.04,116.11,117.27,43940900
2015-05-08,118.6,119.48,118.06,119.48,55550400
2015-05-11,119.26,119.42,117.61,118.26,42035800
2015-05-12,117.59,118.78,116.86,117.84,48160000
2015-05-13,118.1,119.08,117.84,117.97,34694200
2015-05-14,119.28,120.72,119.05,120.72,45203500
2015-05-15,120.84,121.23,120.03,120.55,38208000
2015-05-18,120.19,122.38,120.17,121.88,50882900
2015-05-19,122.35,122.53,121.37,121.77,44633200
2015-05-20,121.71,122.62,121.09,121.76,36454900
2015-05-21,121.77,123.23,121.55,123.01,39730400
2015-05-22,123.2,124.49,123.02,124.08,45596000
2015-05-26,124.14,124.43,120.88,121.35,70697600
2015-05-27,122.02,123.82,121.75,123.62,45833200
2015-05-28,123.45,123.53,122.74,123.37,30733300
2015-05-29,122.86,123.06,121.61,121.97,50884500
2015-06-01,121.97,123.01,121.75,122.21,32112800
2015-06-02,121.57,122.32,121.07,121.67,33667600
2015-06-03,122.32,122.59,121.61,121.82,30889400
2015-06-04,121.31,122.25,120.69,121.11,38450100
2015-06-05,121.24,121.42,120.17,120.44,35626800
2015-06-08,120.68,120.97,118.74,119.65,52674800
2015-06-09,118.62,119.91,117.61,119.29,56075400
2015-06-10,119.76,121.09,119.69,120.66,39087300
2015-06-11,120.94,121.87,120.28,120.39,35390900
2015-06-12,120.01,120.14,119,119.06,36886200
2015-06-15,118.05,119.12,117.69,118.82,43988900
2015-06-16,118.93,119.69,118.31,119.46,31494100
2015-06-17,119.57,119.72,118.65,119.18,32918100
2015-06-18,119.11,120.12,119.1,119.72,35407200
2015-06-19,119.56,119.66,118.34,118.52,54716900
2015-06-22,119.36,119.89,118.97,119.47,34039300
2015-06-23,119.35,119.47,118.78,118.93,30268900
2015-06-24,119.09,121.52,119.01,119.94,55280900
2015-06-25,120.64,120.96,119.37,119.37,31938100
2015-06-26,119.52,119.82,118.44,118.66,44066800
2015-06-29,117.46,118.4,116.54,116.58,49161400
2015-06-30,117.56,118.07,116.89,117.43,44370700
2015-07-01,118.8,118.84,117.95,118.52,30238800
2015-07-02,118.36,118.61,117.75,118.37,27211000
2015-07-06,116.97,118.18,116.88,117.96,28060400
2015-07-07,117.86,118.1,115.87,117.67,46946800
2015-07-08,116.54,116.69,114.72,114.75,60761600
2015-07-09,115.95,116.14,111.61,112.41,77821600
2015-07-10,114.16,115.95,113.48,115.41,61354500
2015-07-13,117.05,117.74,116.39,117.64,41440500
2015-07-14,118,118.31,117.06,117.6,31768100
2015-07-15,117.7,119.04,117.57,118.73,33649200
2015-07-16,119.59,120.37,119.22,120.31,36222400
2015-07-17,120.84,121.35,120.12,121.35,46164700
2015-07-20,122.61,124.49,122.36,123.64,58900200
2015-07-21,124.37,124.44,122.01,122.41,76756400
2015-07-22,114.21,117.49,114.21,117.23,115450600
2015-07-23,118.15,118.98,117.08,117.17,50999500
2015-07-24,117.32,117.72,116,116.56,42162300
2015-07-27,115.24,115.72,114.33,114.94,44455500
2015-07-28,115.51,116,114.73,115.51,33618100
2015-07-29,115.29,115.62,114.47,115.14,37011700
2015-07-30,114.52,114.75,113.94,114.56,33628300
2015-07-31,114.78,114.82,113.2,113.56,42885000
2015-08-03,113.75,114.75,110.02,110.88,69976000
2015-08-04,109.93,110.19,106.02,107.33,124138600
2015-08-05,105.74,109.95,104.95,108.04,99312600
2015-08-06,109.06,109.56,107.32,108.27,52903000
2015-08-07,107.76,109.33,107.68,108.64,38670400
2015-08-10,109.59,112.84,109.59,112.59,54951600
2015-08-11,110.79,111.14,106.58,106.73,97082800
2015-08-12,105.83,108.55,103.1,108.38,101217500
2015-08-13,109.13,109.47,107.72,108.29,48535800
2015-08-14,107.51,109.38,107.22,109.05,42929500
2015-08-17,109.13,110.64,108.62,110.18,40884700
2015-08-18,109.5,110.44,109.1,109.56,34560700
2015-08-19,109.18,109.58,107.85,108.16,47445700
2015-08-20,107.29,107.54,104.98,105.94,68501600
2015-08-21,103.85,105.23,99.36,99.46,128275500
2015-08-24,89.22,102.32,86.52,96.98,162206300
2015-08-25,104.49,104.49,97.34,97.56,103601600
2015-08-26,100.71,103.34,98.79,103.16,96774600
2015-08-27,105.55,106.5,103.47,106.19,84616100
2015-08-28,105.49,106.56,104.9,106.54,53164400
2015-08-31,105.36,107.71,105.33,106.04,56229300
2015-09-01,103.59,105.22,100.97,101.3,76845900
2015-09-02,103.66,105.65,102.63,105.65,61888800
2015-09-03,105.79,106.06,103.49,103.8,53233900
2015-09-04,102.48,103.87,102.05,102.76,49996300
2015-09-08,105.09,105.86,103.75,105.62,54843600
2015-09-09,106.98,107.23,103.23,103.59,85010800
2015-09-10,103.7,106.53,103.35,105.86,62892800
2015-09-11,105.13,107.41,105.1,107.41,49915500
2015-09-14,109.64,109.93,108.02,108.44,58363400
2015-09-15,109.02,109.59,107.6,109.35,43341200
2015-09-16,109.33,109.6,108.56,109.48,37173500
2015-09-17,108.77,109.55,106.95,107.13,64112600
2015-09-18,105.53,107.49,105.21,106.69,74285300
2015-09-21,106.9,108.5,106.89,108.35,50222000
2015-09-22,106.63,107.38,105.82,106.65,50346200
2015-09-23,106.86,107.89,106.55,107.51,35756700
2015-09-24,106.5,108.62,105.68,108.15,50219500
2015-09-25,109.5,109.74,107.23,107.88,56151900
2015-09-28,107.07,107.75,105.74,105.74,52109000
2015-09-29,106.11,106.75,101.44,102.56,73365400
2015-09-30,103.61,104.9,102.25,103.73,66473000
2015-10-01,102.57,103.09,100.92,103.05,63929100
2015-10-02,101.58,104.4,101.14,103.81,58019800
2015-10-05,103.34,104.74,102.57,104.18,52064700
2015-10-06,104.04,105.08,103.23,104.68,48196800
2015-10-07,105.08,105.11,102.89,104.18,46765600
2015-10-08,103.63,103.63,101.76,102.98,61979600
2015-10-09,103.45,105.59,102.97,105.44,52766100
2015-10-12,106.02,106.03,104.8,104.95,30467200
2015-10-13,104.22,105.75,104.09,105.13,33049300
2015-10-14,104.66,104.88,103.03,103.65,44462400
2015-10-15,104.32,105.42,103.91,105.2,37673500
2015-10-16,105.12,105.33,103.95,104.43,39232600
2015-10-19,104.2,105.09,103.55,105.08,29759200
2015-10-20,104.71,107.37,104.22,106.99,48778800
2015-10-21,107.21,108.7,106.93,106.98,41795200
2015-10-22,107.52,108.62,107.3,108.62,41654100
2015-10-23,109.75,112.13,109.4,111.99,59366900
2015-10-26,111.05,111.09,108.07,108.41,66333800
2015-10-27,108.53,109.6,107.2,107.73,69884400
2015-10-28,109.97,112.19,109.15,112.17,85551400
2015-10-29,111.63,113.5,111.23,113.35,51227300
2015-10-30,113.78,114,112.34,112.38,49365300
2015-11-02,113.6,114.13,112.49,113.96,32203300
2015-11-03,113.6,116.13,113.51,115.27,45519000
2015-11-04,115.8,116.44,114.38,114.73,44886100
2015-11-05,115.08,115.88,113.51,114.2,39552700
2015-11-06,114.38,115.04,113.92,114.34,33042300
2015-11-09,114.24,115.04,113.38,113.87,33871400
2015-11-10,110.41,111.51,109.61,110.28,59127900
2015-11-11,109.91,110.9,108.81,109.66,45218000
2015-11-12,109.8,110.33,109.23,109.29,32525600
2015-11-13,108.8,109.15,106.03,106.1,45812400
2015-11-16,105.19,107.9,104.84,107.84,38106700
2015-11-17,108.54,108.66,107.03,107.38,27616900
2015-11-18,109.33,110.96,109.09,110.78,46674700
2015-11-19,111.11,113.1,110.28,112.18,43295800
2015-11-20,112.58,113.26,112.25,112.67,34287100
2015-11-23,112.65,113.08,110.82,111.21,32482500
2015-11-24,110.81,112.72,110.62,112.28,42803200
2015-11-25,112.59,112.61,111.37,111.47,21388300
2015-11-27,111.72,111.83,111.07,111.27,13046400
2015-11-30,111.44,112.78,111.21,111.73,39180300
2015-12-01,112.15,112.21,110.37,110.82,34852400
2015-12-02,110.82,111.55,109.63,109.82,33386600
2015-12-03,110.08,110.3,107.88,108.8,41569500
2015-12-04,108.89,112.63,108.72,112.42,57777000
2015-12-07,112.37,113.2,111.27,111.71,32084200
2015-12-08,110.99,112.01,110.37,111.66,34309500
2015-12-09,111.11,111.15,108.69,109.2,46361400
2015-12-10,109.6,110.45,109.09,109.72,29104200
2015-12-11,108.79,108.98,106.58,106.89,46886200
2015-12-14,105.95,106.42,103.69,106.23,64318700
2015-12-15,105.72,106.54,104.22,104.35,53323100
2015-12-16,104.9,105.77,102.76,105.16,56238500
2015-12-17,105.8,106.02,102.93,102.93,44772800
2015-12-18,102.86,103.44,99.93,100.14,96453300
2015-12-21,101.32,101.41,99.71,101.37,47590600
2015-12-22,101.44,101.74,100.54,101.27,32789400
2015-12-23,101.31,102.8,101.25,102.58,32657400
2015-12-24,102.95,102.95,101.95,102.03,13570400
2015-12-28,101.61,101.71,100.28,100.89,26704200
2015-12-29,101.02,103.35,100.93,102.7,30931200
2015-12-30,102.55,102.66,101.23,101.36,25213800
2015-12-31,101.07,101.09,99,99.41,40635300
2016-01-04,96.91,99.52,96.34,99.5,67649400
2016-01-05,99.88,99.97,96.72,97.01,55791000
2016-01-06,94.98,96.68,94.32,95.11,68457400
2016-01-07,93.2,94.57,91.07,91.09,81094400
2016-01-08,93.08,93.61,91.39,91.58,70798000
2016-01-11,93.47,93.56,91.93,93.06,49739400
2016-01-12,94.97,95.1,93.35,94.41,49154200
2016-01-13,94.75,95.57,91.9,91.98,62439600
2016-01-14,92.52,94.9,90.42,93.99,63170100
2016-01-15,90.86,92.28,90.06,91.74,79010000
2016-01-19,92.94,93.17,90.2,91.29,53087700
2016-01-20,89.82,92.74,88.23,91.41,72334400
2016-01-21,91.67,92.44,89.67,90.95,52161500
2016-01-22,93.15,95.83,92.91,95.79,65800500
2016-01-25,95.88,95.89,93.7,93.92,51794500
2016-01-26,94.38,95.28,92.62,94.44,75077000
2016-01-27,90.71,91.26,88.16,88.23,133369700
2016-01-28,88.58,89.27,87.26,88.86,55678800
2016-01-29,89.53,91.93,89.11,91.93,64416500
2016-02-01,91.11,91.34,90.1,91.07,40943500
2016-02-02,90.12,90.71,89.04,89.23,37357200
2016-02-03,89.72,91.46,88.86,91,45964300
2016-02-04,91.03,92.42,90.39,91.73,46471700
2016-02-05,91.65,92.03,88.97,89.28,46418100
2016-02-08,88.44,90.88,88.35,90.22,54021400
2016-02-09,89.54,91.1,89.19,90.2,44331200
2016-02-10,91.08,91.49,89.36,89.52,42343600
2016-02-11,89.06,89.94,87.92,88.98,50074700
2016-02-12,89.44,89.74,88.32,89.25,40351400
2016-02-16,90.23,91.97,89.84,91.77,49057900
2016-02-17,91.8,93.26,91.3,93.17,44863200
2016-02-18,93.86,93.9,91.25,91.41,39021000
2016-02-19,91.16,91.88,90.97,91.2,35374200
2016-02-22,91.45,92.01,91.08,92,34280800
2016-02-23,91.54,91.64,89.78,89.92,31942600
2016-02-24,89.24,91.52,88.62,91.26,36255700
2016-02-25,91.21,91.88,90.45,91.88,27582700
2016-02-26,92.3,93.08,91.71,92.02,28991100
2016-02-29,91.98,93.28,91.78,91.82,35216300
2016-03-01,92.73,95.69,92.51,95.46,50407100
2016-03-02,95.44,95.8,94.62,95.67,33169600
2016-03-03,95.51,96.58,95.39,96.38,36955700
2016-03-04,97.21,98.52,96.26,97.82,46055100
2016-03-07,97.23,97.65,95.87,96.73,35828900
2016-03-08,95.7,96.63,95.34,95.94,31561900
2016-03-09,96.2,96.46,95.22,96.02,27201700
2016-03-10,96.3,97.09,95.1,96.07,33513600
2016-03-11,97.09,97.12,96.38,97.1,27408200
2016-03-14,96.77,97.72,96.65,97.35,25076100
2016-03-15,98.72,99.88,98.61,99.31,40067700
2016-03-16,99.34,100.95,99.32,100.63,38303500
2016-03-17,100.2,101.1,99.67,100.47,34420700
2016-03-18,100.98,101.13,99.89,100.58,44205200
2016-03-21,100.59,102.22,99.84,100.57,35502700
2016-03-22,99.94,101.88,99.91,101.34,32444400
2016-03-23,101.11,101.67,100.56,100.78,25703500
2016-03-24,100.15,100.89,99.6,100.34,26133000
2016-03-28,100.66,100.84,99.76,99.89,19411400
2016-03-29,99.6,102.36,99.59,102.25,31190100
2016-03-30,103.17,104.85,103.13,104.04,45601100
2016-03-31,104.19,104.36,103.39,103.5,25888400
2016-04-01,103.3,104.45,102.75,104.45,25874000
2016-04-04,104.85,106.53,104.71,105.52,37356200
2016-04-05,103.99,105.15,103.9,104.27,26578700
2016-04-06,104.67,105.39,103.69,105.37,26404100
2016-04-07,104.41,104.85,102.67,103.07,31801900
2016-04-08,103.42,104.24,102.72,103.18,23581700
2016-04-11,103.48,105.03,103.34,103.52,29407500
2016-04-12,103.83,104.93,103.18,104.87,27232300
2016-04-13,105.21,106.68,105.21,106.39,33257300
2016-04-14,105.99,106.72,105.72,106.45,25473900
2016-04-15,106.46,106.64,104.2,104.31,46939000
2016-04-18,103.4,103.46,101.55,102.06,60834000
2016-04-19,102.44,102.56,100.87,101.52,32384900
2016-04-20,101.26,102.64,100.71,101.73,30611000
2016-04-21,101.54,101.54,100.2,100.63,31552500
2016-04-22,99.72,101.11,99.35,100.35,33683100
2016-04-25,99.71,100.32,99.24,99.78,28031600
2016-04-26,98.67,99.99,98.67,99.09,56016200
2016-04-27,91.16,93.73,90.86,92.89,114602100
2016-04-28,92.69,92.95,89.5,90.05,82242700
2016-04-29,89.25,89.94,87.85,89.01,68531500
2016-05-02,89.23,89.34,87.74,88.92,48160100
2016-05-03,89.45,90.91,88.96,90.38,56831300
2016-05-04,90.4,91.07,89.09,89.44,41025500
2016-05-05,89.8,89.87,88.54,89.08,35890500
2016-05-06,89.2,89.28,87.75,88.58,43458200
2016-05-09,88.85,89.58,88.46,88.65,32936400
2016-05-10,89.16,89.39,88,89.25,33686800
2016-05-11,89.31,89.39,88.33,88.38,28719100
2016-05-12,88.58,88.64,85.48,86.31,76314700
2016-05-13,85.98,87.58,85.98,86.48,44392800
2016-05-16,88.27,90.18,87.56,89.69,61259800
2016-05-17,90.33,90.47,88.86,89.32,46916900
2016-05-18,89.96,90.96,89.7,90.34,42062400
2016-05-19,90.42,90.42,89.39,90,30442100
2016-05-20,90.42,91.17,90.3,90.97,32026000
2016-05-23,91.59,92.85,91.4,92.13,38018600
2016-05-24,92.88,93.71,92.52,93.53,35140200
2016-05-25,94.27,95.29,93.73,95.17,38168800
2016-05-26,95.23,96.23,94.24,95.93,56331200
2016-05-27,95,95.99,94.82,95.87,36229500
2016-05-31,95.15,95.92,94.41,95.4,42307200
2016-06-01,94.6,95.1,93.94,94.07,29173300
2016-06-02,93.24,93.47,92.32,93.36,40191600
2016-06-03,93.43,93.88,93.1,93.55,28062900
2016-06-06,93.62,97.34,93.2,94.23,23292500
2016-06-07,94.82,95.41,94.54,94.61,22409500
2016-06-08,94.6,95.12,94.28,94.52,20848100
2016-06-09,94.1,95.53,94.07,95.2,26601400
2016-06-10,94.13,94.92,94.08,94.42,31712900
2016-06-13,94.29,94.7,92.77,93,38020500
2016-06-14,92.98,94.08,92.43,93.11,31931900
2016-06-15,93.45,94.02,92.7,92.8,29445200
2016-06-16,92.15,93.39,91.78,93.2,31326800
