Date,Open
3/27/2014,566.44
3/28/2014,559.66
3/31/2014,565.34
4/1/2014,557.18
4/2/2014,598.35
4/3/2014,568.29
4/4/2014,573.08
4/7/2014,539.26
4/8/2014,541.11
4/9/2014,558.09
4/10/2014,563.45
4/11/2014,531.09
4/14/2014,536.78
4/15/2014,535.35
4/16/2014,541.51
4/17/2014,547.31
4/21/2014,534.63
4/22/2014,527.19
4/23/2014,532.33
4/24/2014,528.62
4/25/2014,521.08
4/28/2014,515.76
4/29/2014,515.48
4/30/2014,526.16
5/1/2014,525.67
5/2/2014,532.3
5/5/2014,523.38
5/6/2014,523.79
5/7/2014,514.38
5/8/2014,507.07
5/9/2014,509.35
5/12/2014,522.08
5/13/2014,529.44
5/14/2014,531.54
5/15/2014,524.26
5/16/2014,519.96
5/19/2014,518.28
5/20/2014,528.29
5/21/2014,531.44
5/22/2014,539.65
5/23/2014,545.76
5/27/2014,554.48
5/28/2014,563.02
5/29/2014,561.81
5/30/2014,559.26
6/2/2014,559.16
6/3/2014,549.48
6/4/2014,540.02
6/5/2014,544.9
6/6/2014,556.53
6/9/2014,555.62
6/10/2014,558.98
6/11/2014,556.47
6/12/2014,555.77
6/13/2014,550.75
6/16/2014,547.76
6/17/2014,542.71
6/18/2014,543.37
6/19/2014,552.72
6/20/2014,555.33
6/23/2014,553.63
6/24/2014,563.64
6/25/2014,563.71
6/26/2014,579.41
6/27/2014,575.6
6/30/2014,577.08
7/1/2014,576.74
7/2/2014,581.75
7/3/2014,581.75
7/7/2014,582.16
7/8/2014,576.08
7/9/2014,570.02
7/10/2014,564.36
7/11/2014,570.34
7/14/2014,581
7/15/2014,584.14
7/16/2014,586.39
7/17/2014,577.94
7/18/2014,591.38
7/21/2014,590.13
7/22/2014,589.1
7/23/2014,591.61
7/24/2014,594.82
7/25/2014,588.78
7/28/2014,586.46
7/29/2014,587.14
7/30/2014,584.94
7/31/2014,579.01
8/1/2014,568.84
8/4/2014,567.48
8/5/2014,568.49
8/6/2014,560.24
8/7/2014,566.44
8/8/2014,562.02
8/11/2014,568.43
8/12/2014,562.97
8/13/2014,565.76
8/14/2014,574.6
8/15/2014,576.28
8/18/2014,574.53
8/19/2014,583.4
8/20/2014,584.28
8/21/2014,582.22
8/22/2014,581.99
8/25/2014,583.12
8/26/2014,579.67
8/27/2014,575.69
8/28/2014,568
8/29/2014,569.77
9/2/2014,570.28
9/3/2014,578.41
9/4/2014,578.41
9/5/2014,582.38
9/8/2014,584.99
9/9/2014,587.29
9/10/2014,579.91
9/11/2014,578.77
9/12/2014,579.41
9/15/2014,571.37
9/16/2014,571.19
9/17/2014,578.42
9/18/2014,585.39
9/19/2014,589.88
9/22/2014,592.19
9/23/2014,585.24
9/24/2014,579.87
9/25/2014,585.94
9/26/2014,574.48
9/29/2014,570.18
9/30/2014,575.35
10/1/2014,574.43
10/2/2014,565.76
10/3/2014,571.48
10/6/2014,577.22
10/7/2014,572.83
10/8/2014,564.02
10/9/2014,569.62
10/10/2014,556.19
10/13/2014,543.5
10/14/2014,537.42
10/15/2014,529.56
10/16/2014,517.58
10/17/2014,525.81
10/20/2014,508.06
10/21/2014,523.75
10/22/2014,528.44
10/23/2014,537.84
10/24/2014,542.87
10/27/2014,535.56
10/28/2014,541.51
10/29/2014,548.49
10/30/2014,547.45
10/31/2014,557.82
11/3/2014,553.98
11/4/2014,551.49
11/5/2014,555.28
11/6/2014,544.01
11/7/2014,544.71
11/10/2014,539.98
11/11/2014,546.99
11/12/2014,548.88
11/13/2014,548.29
11/14/2014,545.18
11/17/2014,542.09
11/18/2014,536.03
11/19/2014,533.54
11/20/2014,529.8
11/21/2014,540.13
11/24/2014,536.18
11/25/2014,537.52
11/26/2014,539.4
11/28/2014,539.14
12/1/2014,537.42
12/2/2014,532.05
12/3/2014,529.98
12/4/2014,529.71
12/5/2014,529.55
12/8/2014,525.69
12/9/2014,520.71
12/10/2014,531.62
12/11/2014,526.35
12/12/2014,522.08
12/15/2014,521.31
12/16/2014,510.16
12/17/2014,495.64
12/18/2014,511.55
12/19/2014,510.11
12/22/2014,514.67
12/23/2014,525.56
12/24/2014,529.06
12/26/2014,527.32
12/29/2014,530.73
12/30/2014,526.64
12/31/2014,529.8
1/2/2015,527.56
1/5/2015,521.83
1/6/2015,513.59
1/7/2015,505.61
1/8/2015,496.63
1/9/2015,503.38
1/12/2015,493.58
1/13/2015,497.47
1/14/2015,493.3
1/15/2015,504.19
1/16/2015,498.64
1/20/2015,509.6
1/21/2015,505.86
1/22/2015,520.05
1/23/2015,534.12
1/26/2015,537.06
1/27/2015,528.52
1/28/2015,521.35
1/29/2015,509.6
1/30/2015,514.45
2/2/2015,530.27
2/3/2015,526.55
2/4/2015,527.79
2/5/2015,522.36
2/6/2015,526.2
2/9/2015,526.55
2/10/2015,527.85
2/11/2015,533.83
2/12/2015,535.78
2/13/2015,541.86
2/17/2015,545.33
2/18/2015,539.92
2/19/2015,536.57
2/20/2015,541.64
2/23/2015,534.58
2/24/2015,528.55
2/25/2015,534.43
2/26/2015,541.72
2/27/2015,552.72
3/2/2015,559
3/3/2015,568.89
3/4/2015,570.3
3/5/2015,573.45
3/6/2015,573.31
3/9/2015,565.31
3/10/2015,562.71
3/11/2015,553.62
3/12/2015,551.99
3/13/2015,551.98
3/16/2015,549.44
3/17/2015,550.2
3/18/2015,550.99
3/19/2015,557.86
3/20/2015,560.11
3/23/2015,558.9
3/24/2015,561.02
3/25/2015,568.94
3/26/2015,556.06
3/27/2015,551.49
3/30/2015,550.11
3/31/2015,548.49
4/1/2015,547.1
4/2/2015,539.37
4/6/2015,530.76
4/7/2015,536.61
4/8/2015,536.91
4/9/2015,539.55
4/10/2015,540.81
4/13/2015,536.94
4/14/2015,534.78
4/15/2015,527.25
4/16/2015,528.45
4/17/2015,527.21
4/20/2015,524.16
4/21/2015,536.04
4/22/2015,532.94
4/23/2015,539.52
4/24/2015,564.55
4/27/2015,563.39
4/28/2015,554.64
4/29/2015,550.47
4/30/2015,547.87
5/1/2015,538.43
5/4/2015,538.53
5/5/2015,538.21
5/6/2015,531.24
5/7/2015,523.99
5/8/2015,536.65
5/11/2015,538.37
5/12/2015,531.6
5/13/2015,530.56
5/14/2015,533.77
5/15/2015,539.18
5/18/2015,532.01
5/19/2015,533.98
5/20/2015,538.49
5/21/2015,537.95
5/22/2015,540.15
5/26/2015,538.12
5/27/2015,532.8
5/28/2015,538.01
5/29/2015,537.37
6/1/2015,536.79
6/2/2015,532.93
6/3/2015,539.91
6/4/2015,537.76
6/5/2015,536.35
6/8/2015,533.31
6/9/2015,527.56
6/10/2015,529.36
6/11/2015,538.42
6/12/2015,531.6
6/15/2015,528
6/16/2015,528.4
6/17/2015,529.37
6/18/2015,531
6/19/2015,537.21
6/22/2015,539.59
6/23/2015,539.64
6/24/2015,540
6/25/2015,538.87
6/26/2015,537.26
6/29/2015,525.01
6/30/2015,526.02
7/1/2015,524.73
7/2/2015,521.08
7/6/2015,519.5
7/7/2015,523.13
7/8/2015,521.05
7/9/2015,523.12
7/10/2015,526.29
7/13/2015,532.88
7/14/2015,546.76
7/15/2015,560.13
7/16/2015,565.12
7/17/2015,649
7/20/2015,659.24
7/21/2015,655.21
7/22/2015,660.89
7/23/2015,661.27
7/24/2015,647
7/27/2015,621
7/28/2015,632.83
7/29/2015,628.8
7/30/2015,630
7/31/2015,631.38
8/3/2015,625.34
8/4/2015,628.42
8/5/2015,634.33
8/6/2015,645
8/7/2015,640.23
8/10/2015,639.48
8/11/2015,669.2
8/12/2015,663.08
8/13/2015,659.32
8/14/2015,655.01
8/17/2015,656.8
8/18/2015,661.9
8/19/2015,656.6
8/20/2015,655.46
8/21/2015,639.78
8/24/2015,573
8/25/2015,614.91
8/26/2015,610.35
8/27/2015,639.4
8/28/2015,632.82
8/31/2015,627.54
9/1/2015,602.36
9/2/2015,605.59
9/3/2015,617
9/4/2015,600
9/8/2015,612.49
9/9/2015,621.22
9/10/2015,613.1
9/11/2015,619.75
9/14/2015,625.7
9/15/2015,626.7
9/16/2015,635.47
9/17/2015,637.79
9/18/2015,636.79
9/21/2015,634.4
9/22/2015,627
9/23/2015,622.05
9/24/2015,616.64
9/25/2015,629.77
9/28/2015,610.34
9/29/2015,597.28
9/30/2015,603.28
10/1/2015,608.37
10/2/2015,607.2
10/5/2015,632
10/6/2015,638.84
10/7/2015,649.24
10/8/2015,641.36
10/9/2015,640
10/12/2015,642.09
10/13/2015,643.15
10/14/2015,653.21
10/15/2015,654.66
10/16/2015,664.11
10/19/2015,661.18
10/20/2015,664.04
10/21/2015,654.15
10/22/2015,646.7
10/23/2015,727.5
10/26/2015,701.55
10/27/2015,707.38
10/28/2015,707.33
10/29/2015,710.5
10/30/2015,715.73
11/2/2015,711.06
11/3/2015,718.86
11/4/2015,722
11/5/2015,729.47
11/6/2015,731.5
11/9/2015,730.2
11/10/2015,724.4
11/11/2015,732.46
11/12/2015,731
11/13/2015,729.17
11/16/2015,715.6
11/17/2015,729.29
11/18/2015,727.58
11/19/2015,738.74
11/20/2015,746.53
11/23/2015,757.45
11/24/2015,752
11/25/2015,748.14
11/27/2015,748.46
11/30/2015,748.81
12/1/2015,747.11
12/2/2015,768.9
12/3/2015,766.01
12/4/2015,753.1
12/7/2015,767.77
12/8/2015,757.89
12/9/2015,759.17
12/10/2015,752.85
12/11/2015,741.16
12/14/2015,741.79
12/15/2015,753
12/16/2015,750
12/17/2015,762.42
12/18/2015,746.51
12/21/2015,746.13
12/22/2015,751.65
12/23/2015,753.47
12/24/2015,749.55
12/28/2015,752.92
12/29/2015,766.69
12/30/2015,776.6
12/31/2015,769.5
1/4/2016,743
1/5/2016,746.45
1/6/2016,730
1/7/2016,730.31
1/8/2016,731.45
1/11/2016,716.61
1/12/2016,721.68
1/13/2016,730.85
1/14/2016,705.38
1/15/2016,692.29
1/19/2016,703.3
1/20/2016,688.61
1/21/2016,702.18
1/22/2016,723.6
1/25/2016,723.58
1/26/2016,713.85
1/27/2016,713.67
1/28/2016,722.22
1/29/2016,731.53
2/1/2016,750.46
2/2/2016,784.5
2/3/2016,770.22
2/4/2016,722.81
2/5/2016,703.87
2/8/2016,667.85
2/9/2016,672.32
2/10/2016,686.86
2/11/2016,675
2/12/2016,690.26
2/16/2016,692.98
2/17/2016,698.09
2/18/2016,710
2/19/2016,695.03
2/22/2016,707.45
2/23/2016,701.45
2/24/2016,688.92
2/25/2016,700.01
2/26/2016,708.58
2/29/2016,700.32
3/1/2016,703.62
3/2/2016,719
3/3/2016,718.68
3/4/2016,714.99
3/7/2016,706.9
3/8/2016,688.59
3/9/2016,698.47
3/10/2016,708.12
3/11/2016,720
3/14/2016,726.81
3/15/2016,726.92
3/16/2016,726.37
3/17/2016,736.45
3/18/2016,741.86
3/21/2016,736.5
3/22/2016,737.46
3/23/2016,742.36
3/24/2016,732.01
3/28/2016,736.79
3/29/2016,734.59
3/30/2016,750.1
3/31/2016,749.25
4/1/2016,738.6
4/4/2016,750.06
4/5/2016,738
4/6/2016,735.77
4/7/2016,745.37
4/8/2016,743.97
4/11/2016,743.02
4/12/2016,738
4/13/2016,749.16
4/14/2016,754.01
4/15/2016,753.98
4/18/2016,760.46
4/19/2016,769.51
4/20/2016,758
4/21/2016,755.38
4/22/2016,726.3
4/25/2016,716.1
4/26/2016,725.42
4/27/2016,707.29
4/28/2016,708.26
4/29/2016,690.7
5/2/2016,697.63
5/3/2016,696.87
5/4/2016,690.49
5/5/2016,697.7
5/6/2016,698.38
5/9/2016,712
5/10/2016,716.75
5/11/2016,723.41
5/12/2016,717.06
5/13/2016,711.93
5/16/2016,709.13
5/17/2016,715.99
5/18/2016,703.67
5/19/2016,702.36
5/20/2016,701.62
5/23/2016,706.53
5/24/2016,706.86
5/25/2016,720.76
5/26/2016,722.87
5/27/2016,724.01
5/31/2016,731.74
6/1/2016,734.53
6/2/2016,732.5
6/3/2016,729.27
6/6/2016,724.91
6/7/2016,719.84
6/8/2016,723.96
6/9/2016,722.87
6/10/2016,719.47
6/13/2016,716.51
6/14/2016,716.48
6/15/2016,719
6/16/2016,714.91
6/17/2016,708.65
6/20/2016,698.77
6/21/2016,698.4
6/22/2016,699.06
6/23/2016,697.45
6/24/2016,675.17
6/27/2016,671
6/28/2016,678.97
6/29/2016,683
6/30/2016,685.47
7/1/2016,692.2
7/5/2016,696.06
7/6/2016,689.98
7/7/2016,698.08
7/8/2016,699.5
7/11/2016,708.05
7/12/2016,719.12
7/13/2016,723.62
7/14/2016,721.58
7/15/2016,725.73
7/18/2016,722.71
7/19/2016,729.89
7/20/2016,737.33
7/21/2016,740.36
7/22/2016,741.86
7/25/2016,740.67
7/26/2016,739.04
7/27/2016,738.28
7/28/2016,747.04
7/29/2016,772.71
8/1/2016,761.09
8/2/2016,768.69
8/3/2016,767.18
8/4/2016,772.22
8/5/2016,773.78
8/8/2016,782
8/9/2016,781.1
8/10/2016,783.75
8/11/2016,785
8/12/2016,781.5
8/15/2016,783.75
8/16/2016,780.3
8/17/2016,777.32
8/18/2016,780.01
8/19/2016,775
8/22/2016,773.27
8/23/2016,775.48
8/24/2016,770.58
8/25/2016,767
8/26/2016,769
8/29/2016,768.74
8/30/2016,769.33
8/31/2016,767.01
9/1/2016,769.25
9/2/2016,773.01
9/6/2016,773.45
9/7/2016,780
9/8/2016,778.59
9/9/2016,770.1
9/12/2016,755.13
9/13/2016,764.48
9/14/2016,759.61
9/15/2016,762.89
9/16/2016,769.75
9/19/2016,772.42
9/20/2016,769
9/21/2016,772.66
9/22/2016,780
9/23/2016,786.59
9/26/2016,782.74
9/27/2016,775.5
9/28/2016,777.85
9/29/2016,781.44
9/30/2016,776.33
10/3/2016,774.25
10/4/2016,776.03
10/5/2016,779.31
10/6/2016,779
10/7/2016,779.66
10/10/2016,777.71
10/11/2016,786.66
10/12/2016,783.76
10/13/2016,781.22
10/14/2016,781.65
10/17/2016,779.8
10/18/2016,787.85
10/19/2016,798.24
10/20/2016,803.3
10/21/2016,795
10/24/2016,804.9
10/25/2016,816.68
10/26/2016,806.34
10/27/2016,801
10/28/2016,808.35
10/31/2016,795.47
11/1/2016,782.89
11/2/2016,778.2
11/3/2016,767.25
11/4/2016,750.66
11/7/2016,774.5
11/8/2016,783.4
11/9/2016,779.94
11/10/2016,791.17
11/11/2016,756.54
11/14/2016,755.6
11/15/2016,746.97
11/16/2016,755.2
11/17/2016,766.92
11/18/2016,771.37
11/21/2016,762.61
11/22/2016,772.63
11/23/2016,767.73
11/25/2016,764.26
11/28/2016,760
11/29/2016,771.53
11/30/2016,770.07
12/1/2016,757.44
12/2/2016,744.59
12/5/2016,757.71
12/6/2016,764.73
12/7/2016,761
12/8/2016,772.48
12/9/2016,780
12/12/2016,785.04
12/13/2016,793.9
12/14/2016,797.4
12/15/2016,797.34
12/16/2016,800.4
12/19/2016,790.22
12/20/2016,796.76
12/21/2016,795.84
12/22/2016,792.36
12/23/2016,790.9
12/27/2016,790.68
12/28/2016,793.7
12/29/2016,783.33
12/30/2016,782.75